region,seed,team
East,1,Duke
East,16,Siena
East,8,Ohio State
East,9,TCU
East,5,St. John's
East,12,Northern Iowa
East,4,Kansas
East,13,Cal Baptist
East,6,Louisville
East,11,South Florida
East,3,Michigan State
East,14,North Dakota State
East,7,UCLA
East,10,UCF
East,2,UConn
East,15,Furman
South,1,Florida
South,16,Prairie View A&M
South,8,Clemson
South,9,Iowa
South,5,Vanderbilt
South,12,McNeese State
South,4,Nebraska
South,13,Troy
South,6,North Carolina
South,11,VCU
South,3,Illinois
South,14,Penn
South,7,Saint Mary's
South,10,Texas A&M
South,2,Houston
South,15,Idaho
West,1,Arizona
West,16,LIU
West,8,Villanova
West,9,Utah State
West,5,Wisconsin
West,12,High Point
West,4,Arkansas
West,13,Hawaii
West,6,BYU
West,11,Texas
West,3,Gonzaga
West,14,Kennesaw State
West,7,Miami
West,10,Missouri
West,2,Purdue
West,15,Queens
Midwest,1,Michigan
Midwest,16,UMBC
Midwest,8,Georgia
Midwest,9,Saint Louis
Midwest,5,Texas Tech
Midwest,12,Akron
Midwest,4,Alabama
Midwest,13,Hofstra
Midwest,6,Tennessee
Midwest,11,SMU
Midwest,3,Virginia
Midwest,14,Wright State
Midwest,7,Kentucky
Midwest,10,Santa Clara
Midwest,2,Iowa State
Midwest,15,Tennessee State
